Zip Code,Median income (dollars)
ZCTA5 03818,60337
ZCTA5 03819,90732
ZCTA5 03820,74946
ZCTA5 03823,147311
ZCTA5 03824,83289
ZCTA5 03825,99067
ZCTA5 03826,73860
ZCTA5 03827,104866
ZCTA5 03830,56369
ZCTA5 03832,52273
ZCTA5 03833,88010
ZCTA5 03835,63676
ZCTA5 03836,61071
ZCTA5 03837,86000
ZCTA5 03838,63650
ZCTA5 03839,76378
ZCTA5 03840,119556
ZCTA5 03841,90893
ZCTA5 03842,81639
ZCTA5 03844,140625
ZCTA5 03845,59423
ZCTA5 03846,64000
ZCTA5 03847,83651
ZCTA5 03848,75430
ZCTA5 03849,83611
ZCTA5 03850,88000
ZCTA5 03851,75735
ZCTA5 03853,82216
ZCTA5 03854,167500
ZCTA5 03855,79896
ZCTA5 03856,166397
ZCTA5 03857,76731
ZCTA5 03858,121959
ZCTA5 03860,61514
ZCTA5 03861,97438
ZCTA5 03862,104324
ZCTA5 03864,53815
ZCTA5 03865,85263
ZCTA5 03867,67115
ZCTA5 03868,57263
ZCTA5 03869,71134
ZCTA5 03870,109143
ZCTA5 03872,91159
ZCTA5 03873,115667
ZCTA5 03874,76315
ZCTA5 03875,82727
ZCTA5 03878,67293
ZCTA5 03882,76953
ZCTA5 03883,65938
ZCTA5 03884,110972
ZCTA5 03885,126382
ZCTA5 03886,62847
ZCTA5 03887,74464
ZCTA5 03894,67481
ZCTA5 03901,71362
ZCTA5 03902,105321
ZCTA5 03903,78528
ZCTA5 03904,61510
ZCTA5 03905,93750
ZCTA5 03906,65030
ZCTA5 03907,69231
ZCTA5 03908,86074
ZCTA5 03909,98577
ZCTA5 03910,77440
ZCTA5 04001,54194
ZCTA5 04002,55554
ZCTA5 04003,89097
ZCTA5 04005,57318
ZCTA5 04008,98250
ZCTA5 04009,59505
ZCTA5 04010,45461
ZCTA5 04011,66699
ZCTA5 04015,50625
ZCTA5 04017,50833
ZCTA5 04019,93558
ZCTA5 04020,58365
ZCTA5 04021,111631
ZCTA5 04022,64706
ZCTA5 04024,56857
ZCTA5 04027,76411
ZCTA5 04029,59706
ZCTA5 04030,91771
ZCTA5 04032,89484
ZCTA5 04037,51389
ZCTA5 04038,88958
ZCTA5 04039,82027
ZCTA5 04040,49183
ZCTA5 04041,47321
ZCTA5 04042,71678
ZCTA5 04043,86170
ZCTA5 04046,80189
ZCTA5 04047,54853
ZCTA5 04048,62946
ZCTA5 04049,65709
ZCTA5 04050,76875
ZCTA5 04051,56528
ZCTA5 04055,54387
ZCTA5 04056,86250
ZCTA5 04061,71596
ZCTA5 04062,83046
ZCTA5 04063,38281
ZCTA5 04064,55750
ZCTA5 04066,105223
ZCTA5 04068,40461
ZCTA5 04069,90556
ZCTA5 04071,72443
ZCTA5 04072,71755
ZCTA5 04073,55404
ZCTA5 04074,103495
ZCTA5 04076,71875
ZCTA5 04079,75931
ZCTA5 04083,67059
ZCTA5 04084,72119
ZCTA5 04085,82898
ZCTA5 04086,74227
ZCTA5 04087,80764
ZCTA5 04088,53036
ZCTA5 04090,66946
ZCTA5 04091,65417
ZCTA5 04092,71183
ZCTA5 04093,67443
ZCTA5 04095,42361
ZCTA5 04096,88295
ZCTA5 04097,93967
ZCTA5 04101,46309
ZCTA5 04102,67324
ZCTA5 04103,72033
ZCTA5 04105,120062
ZCTA5 04106,66925
ZCTA5 04107,127329
ZCTA5 04108,85667
ZCTA5 04109,35288
ZCTA5 04110,208355
ZCTA5 04210,51504
ZCTA5 04216,44750
ZCTA5 04217,41083
ZCTA5 04219,53795
ZCTA5 04220,73636
ZCTA5 04221,45313
ZCTA5 04222,78625
ZCTA5 04224,46181
ZCTA5 04226,34375
ZCTA5 04231,40625
ZCTA5 04236,81000
ZCTA5 04238,75536
ZCTA5 04239,65316
ZCTA5 04240,42969
ZCTA5 04250,59170
ZCTA5 04252,60382
ZCTA5 04253,69808
ZCTA5 04254,39085
ZCTA5 04255,48125
ZCTA5 04256,58944
ZCTA5 04257,38750
ZCTA5 04258,90917
ZCTA5 04259,66354
ZCTA5 04260,74150
ZCTA5 04261,28438
ZCTA5 04263,61250
ZCTA5 04265,58125
ZCTA5 04268,48774
ZCTA5 04270,56563
ZCTA5 04274,70625
ZCTA5 04275,39286
ZCTA5 04276,41946
ZCTA5 04280,66406
ZCTA5 04281,57799
ZCTA5 04282,72446
ZCTA5 04284,57115
ZCTA5 04285,53281
ZCTA5 04287,67470
ZCTA5 04289,51382
ZCTA5 04290,58409
ZCTA5 04292,46033
